id,tamaño,tipo,condicion,avanzado_1,avanzado_2,avanzado_3,avanzado_4
1,8,seco,new,,,,
2,10,seco,new,,,,
3,10,seco,new,High Cube,,,
4,20,seco,Para almacenaje,,,,
5,20,seco,Apto para carga,,,,
6,20,seco,new,Double door,,,
7,20,seco,Apto para carga IICL,,,,
8,20,seco,new,,,,
9,20,seco,new,Open Side,,,
10,20,Flat Rack,Para almacenaje,,,,
11,20,Flat Rack,Apto para carga,,,,
12,20,seco,new,High Cube,Double door,,
13,20,seco,new,High Cube,,,
14,20,refrigerado,Para almacenaje,NOR,,,
15,20,Open Top,Para almacenaje,,,,
16,20,Open Top,Apto para carga,,,,
17,20,refrigerado,Para almacenaje,,,,
18,20,refrigerado,Apto para carga,,,,
19,40,seco,Para almacenaje,,,,
20,40,seco,Apto para carga,,,,
21,40,seco,Apto para carga IICL,,,,
22,40,seco,new,Double door,,,
23,40,seco,new,,,,
25,40,seco,new,Open side,,,
26,40,seco,Apto para carga,Palet Wide,,,
27,40,Flat Rack,Para almacenaje,,,,
28,40,Flat Rack,Apto para carga,,,,
29,40,seco,Para almacenaje,High Cube,,,
30,40,seco,Apto para carga,High Cube,,,
31,40,seco,Apto para carga IICL,High Cube,,,
32,40,seco,Para almacenaje,High Cube,Double door,,
33,40,seco,new,High Cube,Double door,,
34,40,seco,new,High Cube,,,
35,40,seco,new,High Cube,Open Side,,
36,40,seco,Para almacenaje,High Cube,Palet Wide,,
37,40,seco,Apto para carga,High Cube,Palet Wide,,
38,40,refrigerado,Para almacenaje,High Cube,,,
39,40,refrigerado,Apto para carga,High Cube,,,
40,40,refrigerado,Para almacenaje,High Cube,NOR,,
41,40,refrigerado,Para almacenaje,NOR,,,
42,40,Open Top,Para almacenaje,,,,
43,40,Open Top,Apto para carga,,,,
44,40,Open Top,Apto para carga IICL,High Cube,,,
45,40,Open Top,Apto para carga,REBUILT,,,
46,40,seco,Para almacenaje,Palet Wide,,,
47,40,refrigerado,Para almacenaje,,,,
48,45,seco,Para almacenaje,,,,
49,45,seco,Apto para carga,,,,
50,45,seco,Para almacenaje,High Cube,,,
51,45,seco,Apto para carga,High Cube,,,
52,45,seco,new,High Cube,,,
53,45,seco,Para almacenaje,High Cube,Palet Wide,,
54,45,seco,Para almacenaje,Palet Wide,,,
55,45,seco,Apto para carga,Palet Wide,,,
