SIZE	TIPO 1	TIPO 1 - Description	TIPO 2	TIPO 2 - Description	Condicion	Condition - Description	CODE SF	ID	Categoria	Imagenes	Ancho	Alto	Largo	Peso	Tara	container_description
6	Dry	Seco | Dry	DC	DRY Standard	CW	Carga | Cargo Worthy	6DC CW	1	size > 6PIES; Condition > CW; general > Dry > DC		2.43	2.59	1.98			Contenedores utilizados para almacenar, mercaderia, expandier espacio temporal en tu empresa o casa. Los contenedores estan usados, aunque en general siempre tenemos nuevos para este producto tan especial
6	Dry	Seco | Dry	DC	DRY Standard	ASIS	Almacenaje / Modificacion | Storage	6DC ASIS	2	size > 6PIES; Condition > ASIS; general > Dry > DC		2.43	2.59	1.98			Contenedores utilizados para almacenar, mercaderia, expandier espacio temporal en tu empresa o casa. Los contenedores estan usados, aunque en general siempre tenemos nuevos para este producto tan especial
6	Dry	Seco | Dry	DC	DRY Standard	NEW	Nuevo | NEW	6DC NEW	3	size > 6PIES; Condition > NEW; general > Dry > DC		2.43	2.59	1.98			Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica, disponemos de varios colores, aunque, al ser tan especiales, suelen hacerse por encargo.
6	Dry	Seco | Dry	DC	DRY Standard	1st Voyage	1er viaje | 1st voyage	6DC 1st Voyage	4	size > 6PIES; Condition > 1st Voyage; general > Dry > DC		2.43	2.59	1.98			Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica, disponemos de varios colores, aunque, al ser tan especiales, suelen hacerse por encargo.
6	Dry	Seco | Dry	DC	DRY Standard	IICL	IICL	6DC IICL	5	size > 6PIES; Condition > IICL; general > Dry > DC		2.43	2.59	1.98			Contenedores utilizados para almacenar, mercaderia, expandier espacio temporal en tu empresa o casa. Los contenedores estan usados, aunque en general siempre tenemos nuevos para este producto tan especial
6	Dry	Seco | Dry	DC	DRY Standard	SCRAP	Chatarra |Recycle	6DC SCRAP	6	size > 6PIES; Condition > SCRAP; general > Dry > DC		2.43	2.59	1.98			contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
6	Dry	Seco | Dry	HC	High Cube	CW	Carga | Cargo Worthy	6HC CW	7	size > 6PIES; Condition > CW; general > Dry > HC		2.43	2.59	1.98			Contenedores utilizados para almacenar, mercaderia, expandier espacio temporal en tu empresa o casa. Los contenedores estan usados, aunque en general siempre tenemos nuevos para este producto tan especial
6	Dry	Seco | Dry	HC	High Cube	ASIS	Almacenaje / Modificacion | Storage	6HC ASIS	8	size > 6PIES; Condition > ASIS; general > Dry > HC		2.43	2.59	1.98			Contenedores utilizados para almacenar, mercaderia, expandier espacio temporal en tu empresa o casa. Los contenedores estan usados, aunque en general siempre tenemos nuevos para este producto tan especial
6	Dry	Seco | Dry	HC	High Cube	NEW	Nuevo | NEW	6HC NEW	9	size > 6PIES; Condition > NEW; general > Dry > HC		2.43	2.59	1.98			Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica, disponemos de varios colores, aunque, al ser tan especiales, suelen hacerse por encargo.
6	Dry	Seco | Dry	HC	High Cube	1st Voyage	1er viaje | 1st voyage	6HC 1st Voyage	10	size > 6PIES; Condition > 1st Voyage; general > Dry > HC		2.43	2.59	1.98			Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica, disponemos de varios colores, aunque, al ser tan especiales, suelen hacerse por encargo.
6	Dry	Seco | Dry	HC	High Cube	IICL	IICL	6HC IICL	11	size > 6PIES; Condition > IICL; general > Dry > HC		2.43	2.59	1.98			Contenedores utilizados para almacenar, mercaderia, expandier espacio temporal en tu empresa o casa. Los contenedores estan usados, aunque en general siempre tenemos nuevos para este producto tan especial
6	Dry	Seco | Dry	HC	High Cube	SCRAP	Chatarra |Recycle	6HC SCRAP	12	size > 6PIES; Condition > SCRAP; general > Dry > HC		2.43	2.59	1.98			contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
8	Dry	Seco | Dry	DC	DRY Standard	CW	Carga | Cargo Worthy	8DC CW	13	size > 8PIES; Condition > CW; general > Dry > DC		2.43	2.59	2.2			Contenedores utilizados para almacenar, mercaderia, expandier espacio temporal en tu empresa o casa. Los contenedores estan usados, aunque en general siempre tenemos nuevos para este producto tan especial
8	Dry	Seco | Dry	DC	DRY Standard	ASIS	Almacenaje / Modificacion | Storage	8DC ASIS	14	size > 8PIES; Condition > ASIS; general > Dry > DC		2.43	2.59	2.2			Contenedores utilizados para almacenar, mercaderia, expandier espacio temporal en tu empresa o casa. Los contenedores estan usados, aunque en general siempre tenemos nuevos para este producto tan especial
8	Dry	Seco | Dry	DC	DRY Standard	NEW	Nuevo | NEW	8DC NEW	15	size > 8PIES; Condition > NEW; general > Dry > DC		2.43	2.59	2.2			Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica, disponemos de varios colores, aunque, al ser tan especiales, suelen hacerse por encargo.
