ciudad origen	pais origen	ciudad destino	pais destino
Dalian	China	Salzburg	Austria
Dalian	China	Vienna	Austria
Dalian	China	Minsk	Belarus
Dalian	China	Antwerp	Belgium
Dalian	China	Ostrava	Czech Republic
Dalian	China	Prague	Czech Republic
Dalian	China	Aarhus	Denmark
Dalian	China	Copenhagen	Denmark
Dalian	China	Tallinn	Estonia
Dalian	China	Helsinki	Finland
Dalian	China	Kotka	Finland
Dalian	China	Bordeaux	France
Dalian	China	Le Havre	France
Dalian	China	Lyon	France
Dalian	China	Marseille	France
Dalian	China	Nantes	France
Dalian	China	Baunatal	Germany
Dalian	China	Berlin	Germany
Dalian	China	Bremen	Germany
Dalian	China	Bremerhaven	Germany
Dalian	China	Cologne	Germany
Dalian	China	Duisburg	Germany
Dalian	China	Frankfurt	Germany
Dalian	China	Hamburg	Germany
Dalian	China	Karlsruhe	Germany
Dalian	China	Kornwestheim	Germany
Dalian	China	Leipzig	Germany
Dalian	China	Ludwigshafen	Germany
Dalian	China	Mannheim	Germany
Dalian	China	Munich	Germany
Dalian	China	Neuss	Germany
Dalian	China	Nuremberg	Germany
Dalian	China	Regensburg	Germany
Dalian	China	Stuttgart	Germany
Dalian	China	Ulm	Germany
Dalian	China	Woerth	Germany
Dalian	China	Budapest	Hungary
Dalian	China	Cork	Ireland
Dalian	China	Dublin	Ireland
Dalian	China	Genoa	Italy
Dalian	China	La Spezia	Italy
Dalian	China	Livorno	Italy
Dalian	China	Milano	Italy
Dalian	China	Naples	Italy
Dalian	China	Venice	Italy 
Dalian	China	Riga	Latvia
Dalian	China	Klaipeda	Lithuania
Dalian	China	Oslo	Norway
Dalian	China	Stavanger	Norway
Dalian	China	Gdynia	Poland
Dalian	China	Gorzow	Poland
Dalian	China	Lodz	Poland
Dalian	China	Malasheviche	Poland
Dalian	China	Poznan	Poland
Dalian	China	Tuszyn	Poland
Dalian	China	Warsaw	Poland
Dalian	China	Wroclaw	Poland
Dalian	China	Leicoes	Portugal
Dalian	China	Lisbon	Portugal
Dalian	China	Bukarest	Romania
Dalian	China	Moscow	Russia
Dalian	China	Edinburgh	Scotland
Dalian	China	Glasgow	Scotland
Dalian	China	Bratislava 	Slovakia
Dalian	China	Kosice	Slovakia
Dalian	China	Barcelona	Spain
Dalian	China	Bilbao	Spain
Dalian	China	Madrid	Spain
Dalian	China	Seville	Spain
Dalian	China	Valencia	Spain
Dalian	China	Gothenburg	Sweden
Dalian	China	Stockholm	Sweden
Dalian	China	Basel	Switzerland
Dalian	China	Frenkendorf	Switzerland
Dalian	China	Rotterdam	The Netherlands
Dalian	China	Istanbul	Turkey
Dalian	China	Odessa	Ukraine
Dalian	China	Kiev	Ukraine
Dalian	China	Leeds	United Kingdom
Dalian	China	Liverpool	United Kingdom
Dalian	China	London	United Kingdom
Dalian	China	Manchaster	United Kingdom
Tianjin / Xingang	China	Salzburg	Austria
Tianjin / Xingang	China	Vienna	Austria
Tianjin / Xingang	China	Minsk	Belarus
Tianjin / Xingang	China	Antwerp	Belgium
Tianjin / Xingang	China	Ostrava	Czech Republic
Tianjin / Xingang	China	Prague	Czech Republic
Tianjin / Xingang	China	Aarhus	Denmark
Tianjin / Xingang	China	Copenhagen	Denmark
Tianjin / Xingang	China	Tallinn	Estonia
Tianjin / Xingang	China	Helsinki	Finland
Tianjin / Xingang	China	Kotka	Finland
Tianjin / Xingang	China	Bordeaux	France
Tianjin / Xingang	China	Le Havre	France
Tianjin / Xingang	China	Lyon	France
Tianjin / Xingang	China	Marseille	France
Tianjin / Xingang	China	Nantes	France
Tianjin / Xingang	China	Baunatal	Germany
Tianjin / Xingang	China	Berlin	Germany
Tianjin / Xingang	China	Bremen	Germany
Tianjin / Xingang	China	Bremerhaven	Germany
Tianjin / Xingang	China	Cologne	Germany
Tianjin / Xingang	China	Duisburg	Germany
Tianjin / Xingang	China	Frankfurt	Germany
Tianjin / Xingang	China	Hamburg	Germany
Tianjin / Xingang	China	Karlsruhe	Germany
Tianjin / Xingang	China	Kornwestheim	Germany
Tianjin / Xingang	China	Leipzig	Germany
Tianjin / Xingang	China	Ludwigshafen	Germany
Tianjin / Xingang	China	Mannheim	Germany
Tianjin / Xingang	China	Munich	Germany
Tianjin / Xingang	China	Neuss	Germany
Tianjin / Xingang	China	Nuremberg	Germany
Tianjin / Xingang	China	Regensburg	Germany
Tianjin / Xingang	China	Stuttgart	Germany
Tianjin / Xingang	China	Ulm	Germany
Tianjin / Xingang	China	Woerth	Germany
Tianjin / Xingang	China	Budapest	Hungary
Tianjin / Xingang	China	Cork	Ireland
Tianjin / Xingang	China	Dublin	Ireland
Tianjin / Xingang	China	Genoa	Italy
Tianjin / Xingang	China	La Spezia	Italy
Tianjin / Xingang	China	Livorno	Italy
Tianjin / Xingang	China	Milano	Italy
Tianjin / Xingang	China	Naples	Italy
Tianjin / Xingang	China	Venice	Italy 
Tianjin / Xingang	China	Riga	Latvia
Tianjin / Xingang	China	Klaipeda	Lithuania
Tianjin / Xingang	China	Oslo	Norway
Tianjin / Xingang	China	Stavanger	Norway
Tianjin / Xingang	China	Gdynia	Poland
Tianjin / Xingang	China	Gorzow	Poland
Tianjin / Xingang	China	Lodz	Poland
Tianjin / Xingang	China	Malasheviche	Poland
Tianjin / Xingang	China	Poznan	Poland
Tianjin / Xingang	China	Tuszyn	Poland
Tianjin / Xingang	China	Warsaw	Poland
Tianjin / Xingang	China	Wroclaw	Poland
Tianjin / Xingang	China	Leicoes	Portugal
Tianjin / Xingang	China	Lisbon	Portugal
Tianjin / Xingang	China	Bukarest	Romania
Tianjin / Xingang	China	Moscow	Russia
Tianjin / Xingang	China	Edinburgh	Scotland
