Id	Country	City
1	ARGENTINA	BUENOS AIRES
2	ARGENTINA	BUENOS AIRES-AEROPARQUE APT
3	ARGENTINA	BUENOS AIRES-EZEIZA APT
4	ARGENTINA	CORDOBA
5	ARGENTINA	LA PLATA
6	ARGENTINA	MAR DEL PLATA
7	ARGENTINA	MENDOZA
8	ARGENTINA	NECOCHEA/QUEQUEN
9	ARGENTINA	NEUQUEN
10	ARGENTINA	ROSARIO
11	ARGENTINA	SAN CARLOS DE BARILOCHE
12	ARGENTINA	TRELEW
13	ARGENTINA	TUCUMAN
14	ARGENTINA	VILLA GESELL
15	ARGENTINA	ZARATE
16	AUSTRALIA	ADELAIDE
17	AUSTRALIA	CANBERRA
18	AUSTRALIA	MELBOURNE-INT. APT
19	AUSTRIA	VIENNA
20	AZERBAIJAN	BAKU
21	BANGLADESH	CHITTAGONG
22	BELARUS	MINSK
23	BELGIUM	ANTWERP
24	BOLIVIA	COCHABAMBA
25	BOLIVIA	LA PAZ
26	BOLIVIA	SANTA CRUZ
27	BRAZIL	ITAJAI
28	BRAZIL	PARANAGUA
29	BRAZIL	RECIFE
30	BRAZIL	RIO DE JANEIRO
31	BRAZIL	RIO DE JANEIRO-GALEAO APT
32	BRAZIL	RIO DE JANEIRO-SANTOS DUMONT
33	BRAZIL	RIO GRANDE
34	BRAZIL	SANTO ANDRE
35	BRAZIL	SAO PAULO
36	BRAZIL	SAO PAULO-COGONHAS APT
37	BRAZIL	SAO PAULO-CUMBICA APT
38	BRAZIL	SAO PAULO-VIRACOPOS APT
39	BULGARIA	VARNA
40	CHILE	ARICA
41	CHILE	IQUIQUE
42	CHILE	SAN ANTONIO
43	CHILE	SANTIAGO-LOS CERILLOS APT
44	CHILE	SANTIAGO-PUDAHUEL APT
45	CHILE	VALPARAISO-LAS SALINAS
46	CHINA	CHANGSHA
47	CHINA	CHENGDU
48	CHINA	DALIAN
49	CHINA	GUANGZHOU
50	CHINA	HUANGPU
51	CHINA	LIANYUNGANG
52	CHINA	NINGBO
53	CHINA	QINGDAO
54	CHINA	SHANGHAI
55	CHINA	SHENYANG
56	CHINA	SHENZHEN
57	CHINA	URUMQI
58	CHINA	XI AN
59	CHINA	ZHENGZHOU
60	COLOMBIA	BARRANQUILLA
61	COLOMBIA	BOGOTA
62	COLOMBIA	CALI
63	COLOMBIA	CARTAGENA
64	COLOMBIA	MEDELLIN
