Country	City	final_currency
ARGENTINA	BUENOS AIRES	USD
ARGENTINA	BUENOS AIRES-AEROPARQUE APT	USD
ARGENTINA	BUENOS AIRES-EZEIZA APT	USD
ARGENTINA	CORDOBA	USD
ARGENTINA	LA PLATA	USD
ARGENTINA	MAR DEL PLATA	USD
ARGENTINA	MENDOZA	USD
ARGENTINA	NECOCHEA/QUEQUEN	USD
ARGENTINA	NEUQUEN	USD
ARGENTINA	ROSARIO	USD
ARGENTINA	SAN CARLOS DE BARILOCHE	USD
ARGENTINA	TRELEW	USD
ARGENTINA	TUCUMAN	USD
ARGENTINA	VILLA GESELL	USD
ARGENTINA	ZARATE	USD
AUSTRALIA	ADELAIDE	USD
AUSTRALIA	CANBERRA	USD
AUSTRALIA	MELBOURNE-INT. APT	USD
AUSTRIA	VIENNA	EUR
AZERBAIJAN	BAKU	USD
BANGLADESH	CHITTAGONG	USD
BELARUS	MINSK	EUR
BELGIUM	ANTWERP	EUR
BOLIVIA	COCHABAMBA	USD
BOLIVIA	LA PAZ	USD
BOLIVIA	SANTA CRUZ	USD
BRAZIL	ITAJAI	USD
BRAZIL	PARANAGUA	USD
BRAZIL	RECIFE	USD
BRAZIL	RIO DE JANEIRO	USD
BRAZIL	RIO DE JANEIRO-GALEAO APT	USD
BRAZIL	RIO DE JANEIRO-SANTOS DUMONT	USD
BRAZIL	RIO GRANDE	USD
BRAZIL	SANTO ANDRE	USD
BRAZIL	SAO PAULO	USD
BRAZIL	SAO PAULO-COGONHAS APT	USD
BRAZIL	SAO PAULO-CUMBICA APT	USD
BRAZIL	SAO PAULO-VIRACOPOS APT	USD
BULGARIA	VARNA	USD
CHILE	ARICA	USD
CHILE	IQUIQUE	USD
CHILE	SAN ANTONIO	USD
CHILE	SANTIAGO-LOS CERILLOS APT	USD
CHILE	SANTIAGO-PUDAHUEL APT	USD
CHILE	VALPARAISO-LAS SALINAS	USD
CHINA	CHANGSHA	USD
CHINA	CHENGDU	USD
CHINA	DALIAN	USD
CHINA	GUANGZHOU	USD
CHINA	HUANGPU	USD
CHINA	LIANYUNGANG	USD
CHINA	NINGBO	USD
CHINA	QINGDAO	USD
CHINA	SHANGHAI	USD
CHINA	SHENYANG	USD
CHINA	SHENZHEN	USD
CHINA	URUMQI	USD
CHINA	XI AN	USD
CHINA	ZHENGZHOU	USD
COLOMBIA	BARRANQUILLA	USD
COLOMBIA	BOGOTA	USD
COLOMBIA	CALI	USD
COLOMBIA	CARTAGENA	USD
COLOMBIA	MEDELLIN	USD
COSTA RICA	CALDERA	USD
COSTA RICA	PUERTO LIMON	USD
COSTA RICA	SAN JOSE	USD
CZECH REPUBLIC	OSTRAVA	EUR
CZECH REPUBLIC	PRAHA-RUZYNE APT	EUR
DENMARK	AARHUS	EUR
DENMARK	KOBENHAVN	EUR
DOMINICAN REP	HAINA (RIO HAINA)	USD
DOMINICAN REP	LA ROMANA	USD
DOMINICAN REP	SANTO DOMINGO	USD
ECUADOR	ESMERALDAS	USD
ECUADOR	GUAYAQUIL	USD
ECUADOR	QUITO	USD
EL SALVADOR	SAN SALVADOR	USD
ESTONIA	TALLINN	EUR
FINLAND	HELSINGFORS/HELSINKI	EUR
FINLAND	RAUMO/RAUMA	EUR
FRANCE	FOS-SUR-MER	EUR
FRANCE	LE HAVRE	EUR
FRANCE	LYON	EUR
FRANCE	MARSEILLE	EUR
FRANCE	MONTPELLIER	EUR
FRANCE	PARIS	EUR
GEORGIA	POTI	EUR
GEORGIA	TBILISI	EUR
GERMANY	BREMEN	EUR
GERMANY	DUISBURG	EUR
GERMANY	FRANKFURT	EUR
GERMANY	HAMBURG	EUR
GERMANY	MUNCHEN	EUR
GUATEMALA	PUERTO BARRIOS	USD
GUATEMALA	PUERTO QUETZAL	USD
GUATEMALA	SANTO TOMAS DE CASTILLA	USD
HONG KONG	HONG KONG	USD
HONG KONG	VICTORIA	USD
HUNGARY	BUDAPEST	EUR
INDIA	CHENNAI	USD
INDIA	DELHI	USD
INDIA	MUMBAI	USD
INDIA	NHAVA SHEVA	USD
INDONESIA	JAKARTA	USD
INDONESIA	TANJUNG PERAK/SURABAYA	USD
IRAN	BANDAR ABBAS	USD
ISRAEL	ASHDOD	USD
ISRAEL	HAIFA	USD
ITALY	ANCONA	EUR
ITALY	GENOA	EUR
ITALY	LA SPEZIA	EUR
ITALY	MILANO	EUR
ITALY	NAPOLI	EUR
KAZAKHSTAN	ALMATY	USD
KAZAKHSTAN	KARAGANDA	USD
KOREA	PUSAN-KIM HAE APT	USD
KOREA	SEOUL-KIM PO APT	USD
KYRGYZSTAN	BISHKEK	USD
KYRGYZSTAN	FERGANA	USD
LATVIA	RIGA	EUR
LITHUANIA	KLAIPEDA	EUR
LITHUANIA	VILNIUS	EUR
MALAYSIA	KUALA LUMPUR	USD
MALAYSIA	PASIR GUDANG	USD
MALAYSIA	PORT KLANG	USD
MEXICO	GUADALAJARA	USD
MEXICO	MANZANILLO	USD
MEXICO	MEXICO CITY	USD
MEXICO	MONTERREY	USD
MEXICO	PROGRESO	USD
MEXICO	VERACRUZ	USD
NETHERLANDS	AMSTERDAM	EUR
NETHERLANDS	ROTTERDAM	EUR
NICARAGUA	CORINTO	USD
NICARAGUA	MANAGUA	USD
NICARAGUA	PUERTO CABEZAS	USD
NORWAY	BERGEN-FLESLAND AP	EUR
NORWAY	OSLO-FORNEBU APT	EUR
PAKISTAN	KARACHI	USD
PANAMA	BALBOA	USD
PANAMA	COLON	USD
PANAMA	MANZANILLO	USD
PANAMA	PANAMA CITY	USD
PARAGUAY	ASUNCION	USD
PERU	CALLAO	USD
