ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: ancho,Meta: Alto,Meta: Largo,Meta: Peso,Meta: tara
1,simple,6DC CW,6 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 6PIES, Condition > CW, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,1.98,0,0
2,simple,6DC ASIS,6 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 6PIES, Condition > ASIS, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,1.98,0,0
3,simple,6DC NEW,6 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar mercaderia; expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica; disponemos de varios colores; aunque; al ser tan especiales; suelen hacerse por encargo.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 6PIES, Condition > NEW, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,1.98,0,0
4,simple,6DC 1st Voyage,6 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar mercaderia; expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica; disponemos de varios colores; aunque; al ser tan especiales; suelen hacerse por encargo.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 6PIES, Condition > 1st Voyage, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,1.98,0,0
5,simple,6DC IICL,6 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 6PIES, Condition > IICL, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,1.98,0,0
6,simple,6DC SCRAP,6 PIES,1,0,visible,NULL,"contenedores que han sufrido daños muy severos; desconocemos el daño especifico del contenedor; pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 6PIES, Condition > SCRAP, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,1.98,0,0
7,simple,6HC CW,6 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 6PIES, Condition > CW, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,1.98,0,0
8,simple,6HC ASIS,6 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 6PIES, Condition > ASIS, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,1.98,0,0
9,simple,6HC NEW,6 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar mercaderia; expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica; disponemos de varios colores; aunque; al ser tan especiales; suelen hacerse por encargo.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 6PIES, Condition > NEW, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,1.98,0,0
10,simple,6HC 1st Voyage,6 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar mercaderia; expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica; disponemos de varios colores; aunque; al ser tan especiales; suelen hacerse por encargo.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 6PIES, Condition > 1st Voyage, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,1.98,0,0
11,simple,6HC IICL,6 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 6PIES, Condition > IICL, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,1.98,0,0
12,simple,6HC SCRAP,6 PIES,1,0,visible,NULL,"contenedores que han sufrido daños muy severos; desconocemos el daño especifico del contenedor; pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 6PIES, Condition > SCRAP, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,1.98,0,0
13,simple,8DC CW,8 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 8PIES, Condition > CW, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,2.2,0,0
14,simple,8DC ASIS,8 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 8PIES, Condition > ASIS, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,2.2,0,0
15,simple,8DC NEW,8 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar mercaderia; expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica; disponemos de varios colores; aunque; al ser tan especiales; suelen hacerse por encargo.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 8PIES, Condition > NEW, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,2.2,0,0
16,simple,8DC 1st Voyage,8 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar mercaderia; expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica; disponemos de varios colores; aunque; al ser tan especiales; suelen hacerse por encargo.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 8PIES, Condition > 1st Voyage, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,2.2,0,0
17,simple,8DC IICL,8 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 8PIES, Condition > IICL, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,2.2,0,0
18,simple,8DC SCRAP,8 PIES,1,0,visible,NULL,"contenedores que han sufrido daños muy severos; desconocemos el daño especifico del contenedor; pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 8PIES, Condition > SCRAP, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,2.2,0,0
19,simple,8HC CW,8 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 8PIES, Condition > CW, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,2.2,0,0
20,simple,8HC ASIS,8 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 8PIES, Condition > ASIS, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,2.2,0,0
21,simple,8HC NEW,8 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar mercaderia; expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica; disponemos de varios colores; aunque; al ser tan especiales; suelen hacerse por encargo.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 8PIES, Condition > NEW, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,2.2,0,0
22,simple,8HC 1st Voyage,8 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar mercaderia; expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica; disponemos de varios colores; aunque; al ser tan especiales; suelen hacerse por encargo.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 8PIES, Condition > 1st Voyage, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,2.2,0,0
23,simple,8HC IICL,8 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 8PIES, Condition > IICL, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,2.2,0,0
24,simple,8HC SCRAP,8 PIES,1,0,visible,NULL,"contenedores que han sufrido daños muy severos; desconocemos el daño especifico del contenedor; pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 8PIES, Condition > SCRAP, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,2.2,0,0
25,simple,10DC CW,10 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 10PIES, Condition > CW, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,3.02,0,0
26,simple,10DC ASIS,10 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 10PIES, Condition > ASIS, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,3.02,0,0
27,simple,10DC NEW,10 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar mercaderia; expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica; disponemos de varios colores; aunque; al ser tan especiales; suelen hacerse por encargo.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 10PIES, Condition > NEW, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,3.02,0,0
28,simple,10DC 1st Voyage,10 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar mercaderia; expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica; disponemos de varios colores; aunque; al ser tan especiales; suelen hacerse por encargo.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 10PIES, Condition > 1st Voyage, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,3.02,0,0
29,simple,10DC IICL,10 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 10PIES, Condition > IICL, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,3.02,0,0
30,simple,10DC SCRAP,10 PIES,1,0,visible,NULL,"contenedores que han sufrido daños muy severos; desconocemos el daño especifico del contenedor; pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 10PIES, Condition > SCRAP, general > Dry > DC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,3.02,0,0
31,simple,10HC CW,10 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 10PIES, Condition > CW, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,3.02,0,0
32,simple,10HC ASIS,10 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar; mercaderia; expandier espacio temporal en tu empresa o casa. Los contenedores estan usados; aunque en general siempre tenemos nuevos para este producto tan especial
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 10PIES, Condition > ASIS, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,3.02,0,0
33,simple,10HC NEW,10 PIES,1,0,visible,NULL,"Contenedores utilizados para almacenar mercaderia; expandir el espacio de almacenaje temporalmente como de manera fija en espacios limitados. Quienes compran estos contenedores les importa especialmente la estetica; disponemos de varios colores; aunque; al ser tan especiales; suelen hacerse por encargo.
",NULL,NULL,taxable,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,"size > 10PIES, Condition > NEW, general > Dry > HC",NULL,NULL,http://localhost/Silversea/wp-content/uploads/2020/04/CIMG0468.png,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,2.59,3.02,0,0
